Time,Num Task Set,Num Tasks,Time running,Cpu utilization
597,200,15000,14403.2,0.00202607
598,200,15000,14454.3,0.00202607
599,200,15000,14350.1,0.00202607
600,200,15000,14397.1,0.00202607
601,200,15000,14403.1,0.00202607
602,200,15000,14522.6,0.00202607
603,200,15000,14376.8,0.00202607
604,200,15000,14409.8,0.00202607
605,200,15000,14498.1,0.00202607
606,200,15000,14829.9,0.00202607
607,200,15000,14691.7,0.00202607
608,200,15000,14665.4,0.00202607
609,200,15000,14758.5,0.00202607
610,200,15000,14408.3,0.00202607
611,200,15000,14369.5,0.00202607
612,200,15000,14379.7,0.00202607
613,200,15000,14494,0.00202607
614,200,15000,14399.7,0.00202607
615,200,15000,14356,0.00202607
616,200,15000,14398.3,0.00202607
617,200,15000,14789.8,0.00202607
618,200,15000,14681.8,0.00202607
619,200,15000,14615.4,0.00202607
620,200,15000,14745,0.00202607
621,200,15000,14649.4,0.00202607
622,200,15000,14413.5,0.00202607
623,200,15000,14448.5,0.00202607
624,200,15000,14382.7,0.00202607
625,200,15000,14571.5,0.00202607
626,200,15000,14448.9,0.00202607
627,200,15000,14410.7,0.00202607
628,200,15000,14448.6,0.00202607
629,200,15000,14543.1,0.00202607
630,200,15000,14438.9,0.00202607
631,200,15000,14532.2,0.00202607
632,200,15000,14444.6,0.00202607
633,200,15000,14528.7,0.00202607
634,200,15000,14479.5,0.00202607
635,200,15000,14419.8,0.00202607
636,200,15000,14424.5,0.00202607
637,200,15000,14397.3,0.00202607
638,200,15000,14454.2,0.00202607
639,200,15000,14381.5,0.00202607
640,200,15000,14527.4,0.00202607
641,200,15000,14568.7,0.00202607
642,200,15000,14629.9,0.00202607
643,200,15000,14655.1,0.00202607
644,200,15000,14564.5,0.00202607
645,200,15000,14512.2,0.00202607
646,200,15000,14449.6,0.00202607
647,200,15000,14378.7,0.00202607
648,200,15000,14404.2,0.00202607
649,200,15000,14349.3,0.00202607
650,200,15000,14390.3,0.00202607
651,200,15000,14369.5,0.00202607
652,200,15000,14417.6,0.00202607
653,200,15000,14456,0.00202607
654,200,15000,14471.7,0.00202607
655,200,15000,14443.9,0.00202607
656,200,15000,14386.7,0.00202607
657,200,15000,14408.9,0.00202607
658,200,15000,14463.2,0.00202607
659,200,15000,14380.7,0.00202607
660,200,15000,14391.5,0.00202607
661,200,15000,14360.8,0.00202607
662,200,15000,14395.8,0.00202607
663,200,15000,14345.9,0.00202607
664,200,15000,14354.2,0.00202607
665,200,15000,14512.1,0.00202607
666,200,15000,14644.8,0.00202607
667,200,15000,14545.2,0.00202607
668,200,15000,14573.2,0.00202607
669,200,15000,14566.6,0.00202607
670,200,15000,14510,0.00202607
671,200,15000,14367.6,0.00202607
672,200,15000,14376.5,0.00202607
673,200,15000,14325.1,0.00202607
